Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,mpaa_rating,added_to_netflix,flixable_url,totalSeasons
Ferrari Ki Sawaari,2012,Not Rated,15 Jun 2012,140 min,"Comedy, Drama, Family, Sport",Rajesh Mapuskar,"Vidhu Vinod Chopra (original story and screenplay), Rajesh Mapuskar (original story and screenplay), Rajkumar Hirani (original story and dialogue), Shekhar Dhavalikar (script associate), Ranjeet Bahadur (dialogue associate)","Sharman Joshi, Boman Irani, Ritvik Sahore, Paresh Rawal",How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,Hindi,India,2 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ2NTAxNzMxMl5BMl5BanBnXkFtZTcwNjczNzc3Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"4,679",tt2122340,movie,N/A,"$420,046",Eros Entertainment,N/A,True,TV-PG,"August 1, 2019",http://www.flixable.com/title/70236587/,
Grand Designs,2017,,,,,,,,,,,,,,,,,,,,,,,,TV-14,"August 1, 2019",http://www.flixable.com/title/80160755/,
Heartland,2017,Not Rated,27 Jan 2017,100 min,"Drama, Family, Romance",Maura Anderson,"Velinda Godfrey, Todd Waring","Velinda Godfrey, Amelia Harris, Todd Waring, Cooper Rowe","A young Oklahoma artist, struggling with a recent death, finds escape in a reckless affair with her brother's girlfriend.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZDY0YTg5Y2QtZDM2MS00YTlhLTk2ZjgtNzM3NTU1NTEwYTM1XkEyXkFqcGdeQXVyMTQzMjczNDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,399,tt3920890,movie,N/A,N/A,N/A,N/A,True,TV-PG,"August 1, 2019",http://www.flixable.com/title/70171946/,
Horns,2013,R,03 Oct 2014,120 min,"Crime, Drama, Fantasy, Horror, Mystery, Thriller",Alexandre Aja,"Keith Bunin (screenplay), Joe Hill (based on the novel by)","Daniel Radcliffe, Max Minghella, Joe Anderson, Juno Temple","In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his forehead.",English,"USA, Canada",4 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ2Nzk5NzIxMF5BMl5BanBnXkFtZTgwNTM2NTc5MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.5,"72,224",tt1528071,movie,06 Jan 2015,"$511,848",Radius-TWC,N/A,True,R,"August 1, 2019",http://www.flixable.com/title/70266677/,
Jupiter Ascending,2015,PG-13,06 Feb 2015,127 min,"Action, Adventure, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,"English, Russian","USA, Australia",4 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.3,"171,184",tt1617661,movie,02 Jun 2015,"$43,733,037",Warner Bros. Pictures,N/A,True,PG-13,"August 1, 2019",http://www.flixable.com/title/70301367/,
Khaani,2017,N/A,06 Nov 2017,N/A,Romance,N/A,N/A,Sana Javed,A sister struggle to avenge the murder of her only brother who was killed by a short tempered politician only son.,Urdu,Pakistan,N/A,https://m.media-amazon.com/images/M/MV5BYTA1NDg5Y2UtZTVmMS00OWZkLThhNjEtNDM3Nzg3ZGM0NmQ1XkEyXkFqcGdeQXVyODUxNjY2OTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,345,tt7899698,series,,,,,True,TV-14,"August 1, 2019",http://www.flixable.com/title/81139317/,1
Last Knights,2015,R,03 Apr 2015,115 min,"Action, Drama, History, War",Kazuaki Kiriya,"Michael Konyves (screenplay), Dove Sussman (screenplay)","Clive Owen, Morgan Freeman, Cliff Curtis, Aksel Hennie",A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master.,English,"UK, South Korea",N/A,https://m.media-amazon.com/images/M/MV5BMTk4MDM3MTc4OF5BMl5BanBnXkFtZTgwMTUxNDM3NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,6.2,"37,248",tt2493486,movie,30 Jun 2015,N/A,Lionsgate Films,N/A,True,R,"August 1, 2019",http://www.flixable.com/title/80014727/,
Manu,2018,N/A,06 Sep 2018,180 min,"Mystery, Romance, Thriller",Phanindra Narsetti,Phanindra Narsetti,"Raja Goutham, Aberaam Varma, Ravi Teja, Chandini Chowdary","Photographer Neela and artist Manu share a unique association - their relationship is the only bright spot in their lives and one that gives them hope. However, destiny has other ideas.",Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BN2IyMzExZDEtMzU0NC00NTIxLWI0M2EtOGMyOTFkOTYwOGE2XkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,805,tt6615648,movie,N/A,N/A,Nirvana Cinemas,N/A,True,TV-MA,"August 1, 2019",http://www.flixable.com/title/81050688/,
MI-5,2015,R,04 Dec 2015,104 min,"Action, Drama, Thriller",Bharat Nalluri,"Jonathan Brackley (screenplay), Sam Vincent (screenplay), David Wolstencroft (television series ""Spooks"")","Michael Wildman, Tuppence Middleton, Geoffrey Streatfeild, Peter Firth","When a terrorist escapes custody during a routine handover, Will Holloway must team with disgraced MI5 Intelligence Chief Harry Pearce to track him down before an imminent terrorist attack on London.",English,UK,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjQyNzAxNjQwN15BMl5BanBnXkFtZTgwMTIyNTMwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.2,"19,997",tt3321300,movie,09 Feb 2016,N/A,Saban Films,N/A,True,R,"August 1, 2019",http://www.flixable.com/title/80081505/,
Panic Room,2002,R,29 Mar 2002,112 min,"Crime, Drama, Thriller",David Fincher,David Koepp,"Jodie Foster, Kristen Stewart, Forest Whitaker, Dwight Yoakam","A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room, when three men break-in, searching for a missing fortune.",English,USA,1 win & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNmY4ZGFjYTYtMDNmYi00ZDM4LWFjYTgtNmNlZjBmMzg0MzQ3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.8,"242,894",tt0258000,movie,17 Sep 2002,"$95,308,367",Sony Pictures,N/A,True,R,"August 1, 2019",http://www.flixable.com/title/60022700/,
Regiment Diaries,2018,N/A,16 Aug 2018,N/A,Documentary,N/A,N/A,N/A,"The Indian army is a family of several regiments, each of whom have their own history, identity, and glorious traditions. Regiment Diaries is a tale of the Indian Army - a living chronicle ...",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BZDlmYTg3N2MtZGJlNC00MDc4LTkwZTgtNzExOGUzMzU1MTNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,27,tt9642576,series,,,,,True,TV-14,"August 1, 2019",http://www.flixable.com/title/81155880/,N/A
Running Out Of Time,2018,N/A,N/A,13 min,"Drama, Thriller",John Mawson,John Mawson,"Jorge Garcia, Skye LaFontaine, Kim Estes, Tehmina Sunny",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTEyZDYwZTYtYjljYi00MzAxLWIwMTgtYzFlNTQ3Y2QwMGM0XkEyXkFqcGdeQXVyMjI0MTY4OTg@._V1_SX300.jpg,[],N/A,N/A,N/A,tt7840894,movie,N/A,N/A,N/A,N/A,True,TV-14,"August 1, 2019",http://www.flixable.com/title/81103092/,
Sleepless Society: Nyctophobia,2019,N/A,01 Mar 2019,N/A,N/A,N/A,N/A,"Chermarn Boonyasak, Matthew Dean, Intira Jaroenpura, Nattapat Nimjirawat","Following the death of her child, a grief-stricken woman struggles to find peace until a mysterious boy appears, claiming to be her reincarnated son.",N/A,Thailand,N/A,https://m.media-amazon.com/images/M/MV5BZTRiNjI2MjMtNTE5Yy00MGQ1LWJhN2QtZGYzNjc3NWQxMjQ4XkEyXkFqcGdeQXVyNzUwOTkyMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,6,tt10805822,series,,,,,True,TV-MA,"August 1, 2019",http://www.flixable.com/title/80242065/,N/A
Something's Gotta Give,2003,PG-13,12 Dec 2003,128 min,"Comedy, Drama, Romance",Nancy Meyers,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand",A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,"English, French",USA,Nominated for 1 Oscar. Another 8 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BODYyNmRlNDMtYzg1Zi00NzlhLWI4ZDMtZWUwOTQzMDZiYTQyXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.7,"105,727",tt0337741,movie,30 Mar 2004,"$121,400,000",Sony Pictures,N/A,True,PG-13,"August 1, 2019",http://www.flixable.com/title/60031278/,
The Chefs' Line,2017,N/A,03 Apr 2017,N/A,Reality-TV,N/A,N/A,Dan Hong,Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show.,N/A,Australia,N/A,https://m.media-amazon.com/images/M/MV5BMThiYzgxOTQtN2NmMi00ZjU2LWE1MjctYzFiZGNiNDJmMzE2XkEyXkFqcGdeQXVyMjU3NDk5MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,111,tt7239268,series,,,,,True,TV-14,"August 1, 2019",http://www.flixable.com/title/81103517/,N/A
The Sinner,2018,N/A,10 Oct 2018,10 min,"Short, Comedy",Jennifer Sheridan,Susan Wokoma (Writer),"Susan Wokoma, Daisy May Cooper, Layo-Christina Akinlude","11-year-old Joanna tries to understand grief for the first time when she witnesses her mother's manic reaction to the death of Princess Diana, whilst trying to use the incident to get out of Sunday School.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZTcyYzkwYjktNmE4MC00MTE0LWJmNTktYzRkZWMwMGVhZWMzXkEyXkFqcGdeQXVyMjkwNzMwMTU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9114376,movie,N/A,N/A,N/A,N/A,True,TV-MA,"August 1, 2019",http://www.flixable.com/title/80175802/,
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,,,,,,,,,,,,,,,,,,,,,,,,PG-13,"August 1, 2019",http://www.flixable.com/title/60026477/,
Wazir,2016,Not Rated,08 Jan 2016,103 min,"Action, Crime, Drama, Mystery, Thriller",Bejoy Nambiar,"Vidhu Vinod Chopra (story), Vidhu Vinod Chopra (screenplay), Abhijat Joshi (screenplay), Bejoy Nambiar (screenplay), Natasha Sahgal (screenplay), Shubhra Marfatia (screenplay), Abhijeet Shirish Deshpande (dialogue), Gazal Dhaliwal (dialogue)","Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul",A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,Hindi,India,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUzNDU4NDMyOV5BMl5BanBnXkFtZTgwNjcyNzU0NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,7.1,"15,972",tt0315642,movie,N/A,"$586,028",Rajkumar Hirani Films,N/A,True,TV-MA,"August 1, 2019",http://www.flixable.com/title/80094096/,
Wentworth,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"August 1, 2019",http://www.flixable.com/title/80013249/,
White Chamber,2018,N/A,29 Mar 2019,89 min,"Drama, Horror, Sci-Fi, Thriller",Paul Raschid,Paul Raschid,"Shauna Macdonald, Oded Fehr, Amrita Acharia, Sharon Maughan","The United Kingdom. Soon. Civil war rages. A woman wakes up in a blindingly white cuboid cell. Using its sophisticated functionality, her captor tortures her for information; information she claims not to have - or does she?",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BOTU2OTIwMjE4OF5BMl5BanBnXkFtZTgwNzUxNzg0NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,947,tt6888938,movie,N/A,N/A,N/A,N/A,True,TV-MA,"August 1, 2019",http://www.flixable.com/title/81085824/,
Bangkok Love Stories: Innocence,2018,N/A,08 Mar 2019,N/A,Romance,N/A,N/A,"Narupornkamol Chaisang, Ten Tosatid Darnkhuntod, Max Nattapol Diloknawarit, Pattaratida Patcharaveerapong","From a teenage parkour enthusiast to a bawdy widow, an eclectic group of characters find romance in Bangkok's glittering Silom district.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYjAzNTgxYTUtZjE2ZC00M2I2LWE3ODUtMDFhNmY4NDg3YTBhXkEyXkFqcGdeQXVyNjc3MTEzMjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,71,tt9905660,series,,,,,True,TV-14,"July 31, 2019",http://www.flixable.com/title/80236408/,N/A
The Letdown,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"July 31, 2019",http://www.flixable.com/title/80198635/,
The Red Sea Diving Resort,2019,TV-MA,31 Jul 2019,129 min,"Drama, History, Thriller",Gideon Raff,Gideon Raff,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams, Masasa Mbangeni",Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMjZiYWI3MWMtM2NiZi00Y2E0LWI1ODctNmNhMDUyNGMzODkwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}]",N/A,6.5,"17,225",tt4995776,movie,31 Jul 2019,N/A,Netflix,N/A,True,TV-MA,"July 31, 2019",http://www.flixable.com/title/80240537/,
Misfit,2017,N/A,27 Sep 2017,86 min,Comedy,Erwin van den Eshof,"Ernst Gonlag (scenario), Jeroen Koopman (idea), Diana Sno (scenario), Karen van den Ende (scenario), Erwin van den Eshof (scenario)","Djamila, Bente Fokkens, Niek Roozen, Jolijn Henneman","Moving back to her native Netherlands after years of living in the United States, a teenage girl navigates the intricacies of Dutch high school life.",Dutch,Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BMDYyMTI5ZDMtODE4MC00NDBjLWIzOTEtNWQ3ZTYwNWY5NTMyXkEyXkFqcGdeQXVyNDA5NDA1OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,213,tt7109106,movie,N/A,N/A,N/A,N/A,True,TV-14,"August 3, 2019",http://www.flixable.com/title/80994162/,
Ask the StoryBots,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-Y,"August 2, 2019",http://www.flixable.com/title/80108159/,
Basketball or Nothing,2019,N/A,02 Aug 2019,N/A,"Documentary, Sport",N/A,N/A,N/A,the lives of the Chinle High School boys' basketball team based on the Navajo Nation reservation in Arizona.,N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BZmU0NDMxN2ItOWFmMC00NzU1LWEzYzktZWU5MjkxMTk0MzE1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,308,tt10698408,series,,,,,True,TV-PG,"August 2, 2019",http://www.flixable.com/title/80245353/,1
