Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,mpaa_rating,added_to_netflix,flixable_url,totalSeasons
Steve Jobs,2015,R,23 Oct 2015,122 min,"Biography, Drama",Danny Boyle,"Aaron Sorkin (screenplay), Walter Isaacson (book)","Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",English,"UK, USA",Nominated for 2 Oscars. Another 28 wins & 110 nominations.,https://m.media-amazon.com/images/M/MV5BMjE0NTA2MTEwOV5BMl5BanBnXkFtZTgwNzg4NzU2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.2,"143,570",tt2080374,movie,16 Feb 2016,"$12,403,169",Universal Pictures,N/A,True,R,"January 16, 2020",http://www.flixable.com/title/80049358/,
Big Fat Liar,2002,PG,08 Feb 2002,88 min,"Adventure, Comedy, Family",Shawn Levy,"Dan Schneider (story), Brian Robbins (story), Dan Schneider (screenplay)","Frankie Muniz, Paul Giamatti, Amanda Bynes, Amanda Detmer","After a young boy's school essay erroneously finds its way into the hands of a Hollywood producer who turns the idea into a hit film, the boy travels to Los Angeles to claim his credit.",English,"USA, Germany",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNmEyNGFmODYtZjhjNC00NGViLTllMjQtYWYyZmQ1OGEzMzRlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.4,"33,335",tt0265298,movie,24 Sep 2002,"$47,811,275",Universal Pictures,N/A,True,PG,"January 15, 2020",http://www.flixable.com/title/60022265/,
Bulbul Can Sing,2018,N/A,07 Sep 2018,95 min,Drama,Rima Das,Rima Das,"Pakija Begam, Arnali Das, Manabendra Das, Manoranjan Das","Bulbul a teenage school going girl, growing up in a rural setting in Assam, falls in love. While she is in the verge of discovering her teen life, a tragedy strikes with her best friend. ...","Hindi, Assamese",India,N/A,https://m.media-amazon.com/images/M/MV5BYzg0YjdmNzAtNzFiOC00MmFmLTkwMWQtYjU1ZDhlMDkwNDUxXkEyXkFqcGdeQXVyOTE3ODk0NTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.6,7,tt8659050,movie,N/A,N/A,Flying River Films,N/A,True,TV-14,"January 15, 2020",http://www.flixable.com/title/81026003/,
Eye For An Eye,2019,N/A,30 Aug 2019,107 min,"Drama, Thriller",Paco Plaza,"Juan Galiñanes, Jorge Guerricaechevarría","Luis Tosar, Xan Cejudo, Ismael Martínez, Enric Auquer",A drug dealer looking for rest. A nurse looking for revenge. A crossroads where no one is safe.,Spanish,Spain,12 nominations.,https://m.media-amazon.com/images/M/MV5BN2FhNzYzMTAtYWRjZC00NTU1LWJiZGItOTdjZjA4MWZjMGExXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,625,tt7967412,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 15, 2020",http://www.flixable.com/title/80997602/,
Grace and Frankie,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"January 15, 2020",http://www.flixable.com/title/80017537/,
Killer Inside: The Mind of Aaron Hernandez,2020,N/A,15 Jan 2020,N/A,"Documentary, Crime, Sport",N/A,N/A,Jamaal Lewis,What led to the murderous fall and shocking death of former NFL superstar Aaron Hernandez?,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE2N2U0NjUtZTViYy00NWJmLWIwNzYtNTYxMWQ5ZTZjNjZiXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11475228,series,,,,,True,TV-MA,"January 15, 2020",http://www.flixable.com/title/81062828/,N/A
MindGamers,2017,,,,,,,,,,,,,,,,,,,,,,,,R,"January 15, 2020",http://www.flixable.com/title/80169611/,
PJ Masks,2018,,,,,,,,,,,,,,,,,,,,,,,,TV-Y,"January 15, 2020",http://www.flixable.com/title/80187223/,
Saving Zoë,2019,R,12 Jul 2019,95 min,Drama,Jeffrey G. Hunt,"Brian J. Adams, LeeAnne H. Adams, Alyson Noel (book)","Laura Marano, Vanessa Marano, Chris Tavarez, Giorgia Whigham","The high school freshman kid sister of the murdered Zoë finds her diary, which sheds new light on the murder missed by the police. She investigates.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWUzYzJjYWItNzUxOC00MzI3LWIxMjQtMGVlZWM4MmI3YTZhXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,4.9,539,tt7319822,movie,12 Jul 2019,N/A,Blue Fox Entertainment,N/A,True,R,"January 15, 2020",http://www.flixable.com/title/81144867/,
The Brave,2019,N/A,29 Mar 2019,103 min,"Action, Crime, Thriller",William Kaufman,Marco Balsamo,"Armand Assante, Louis Mandylor, Ravshana Kurkova, Igor Jijikine",In an Albanian town known for drug production and trafficking an elite group of cops set out to end the war waged against the local police.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDljYWY2MGYtZTE4ZC00YTc4LTg1MDEtNWY2YjI1NzFjODkzXkEyXkFqcGdeQXVyNjU3MDY3NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,381,tt5524630,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 15, 2020",http://www.flixable.com/title/81127333/,
Where the Money Is,2000,PG-13,14 Apr 2000,89 min,"Drama, Comedy, Crime",Marek Kanievska,"E. Max Frye (story), E. Max Frye (screenplay), Topper Lilien (screenplay), Carroll Cartwright (screenplay)","Paul Newman, Linda Fiorentino, Dermot Mulroney, Susan Barnes","Old bank robber Henry, paralyzed from a stroke, is moved from a prison hospital to a retirement home, where Carol is a nurse. She doesn't believe he's paralyzed and sees him as a way out of her boring life.",English,"Germany, USA, UK, Canada",N/A,https://m.media-amazon.com/images/M/MV5BNmY2ZTM0NjYtOTlhZC00YjA2LThjZTktOTUwMDExZjM3ZjU0XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.2,"4,999",tt0149367,movie,19 Dec 2000,N/A,USA Home Entertainment,N/A,True,PG-13,"January 15, 2020",http://www.flixable.com/title/60000878/,
Kipo and the Age of Wonderbeasts,2020,N/A,N/A,N/A,"Animation, Action, Adventure, Fantasy",N/A,"Radford Sechrist, Bill Wolkoff",Karen Fukuhara,A girl explores the possibilities in a post-apocalyptic world.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGRhMTgzYzItYWYwMC00YjJjLTk0NTQtYjY5MGI5M2VlMmU3XkEyXkFqcGdeQXVyMDk2OTYwNw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10482560,series,,,,,True,TV-Y7-FV,"January 14, 2020",http://www.flixable.com/title/80221553/,N/A
Leslie Jones: Time Machine,2020,N/A,14 Jan 2020,66 min,Comedy,"David Benioff, D.B. Weiss",N/A,Leslie Jones,N/A,N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzg5MmViZDctOTcwZC00YmQwLWI2ZDEtZmVhMDdiOTUxNDdkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,106,tt10795784,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 14, 2020",http://www.flixable.com/title/81060049/,
The Master,2012,R,21 Sep 2012,138 min,Drama,Paul Thomas Anderson,Paul Thomas Anderson,"Joaquin Phoenix, Price Carson, Mike Howard, Sarah Shoshana David",A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.,English,USA,Nominated for 3 Oscars. Another 76 wins & 180 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ2NjQ5MzMwMF5BMl5BanBnXkFtZTcwMjczNTAzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.2,"139,605",tt1560747,movie,26 Feb 2013,"$15,800,000",The Weinstein Company,N/A,True,R,"January 14, 2020",http://www.flixable.com/title/70244163/,
The Ollie & Moon Show,2018,,,,,,,,,,,,,,,,,,,,,,,,TV-Y,"January 14, 2020",http://www.flixable.com/title/80127927/,
Women of Mafia 2,2019,N/A,22 Feb 2019,138 min,"Action, Crime, Drama",Patryk Vega,"Olaf Olszewski (screenplay), Patryk Vega (screenplay)","Angie Cepeda, Agnieszka Dygant, Aleksandra Grabowska, Aleksandra Poplawska","After taking control of the capital, Nanny's gang prepares for the biggest smuggling action in the history of Poland.","Polish, English, Spanish",Poland,N/A,https://m.media-amazon.com/images/M/MV5BZDg4M2E4MzYtNTFiZi00YmNkLWFiN2QtYTExZjcxY2ExY2U0XkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,369,tt8858420,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 14, 2020",http://www.flixable.com/title/81221851/,
The Healing Powers of Dude,2020,N/A,13 Jan 2020,N/A,"Action, Comedy",N/A,N/A,"Jace Chapman, Sophie Kim, Peter Benson, Laurel Emory","Noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named Dude, a sarcastic emotional support dog who might need Noah as much as Noah needs him.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYmYxMDNiMzktMDZhOC00Mjc3LTgwZDEtMTdkNzgxZTY4MWUxXkEyXkFqcGdeQXVyOTc1NTY4MzQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10540562,series,,,,,True,TV-G,"January 13, 2020",http://www.flixable.com/title/80239306/,1
The Last Face,2016,R,28 Jul 2017,130 min,"Drama, Romance",Sean Penn,Erin Dignam,"Charlize Theron, Javier Bardem, Brandon Phillips, Anna Strelkov","In the midst of African social horror, a love between two volunteers fades out and reborn again.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTg1NTU3OTcyMF5BMl5BanBnXkFtZTgwMDY5Njc3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '16/100'}]",16,4.8,"4,052",tt3286560,movie,05 Sep 2017,N/A,"Saban Films, Lionsgate",N/A,True,R,"January 13, 2020",http://www.flixable.com/title/80115030/,
Betty White: First Lady of Television,2018,N/A,21 Aug 2018,57 min,Documentary,N/A,N/A,"Valerie Bertinelli, Georgia Engel, Tina Fey, Valerie Harper",A look at Betty White's life and career features behind-the-scenes clips of her work on television and comments from her friends and co-stars.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjY3NmNiMWYtNGU5Yi00ODY2LTkzNTAtNjk2ZjlhZmQ3NDAwXkEyXkFqcGdeQXVyMDAwMDAwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,70,tt8780234,movie,N/A,N/A,N/A,N/A,True,TV-14,"January 12, 2020",http://www.flixable.com/title/81173792/,
